,helicopter_theta,helicopter_psi
977,-0.6026199999999999,1.2197
978,-0.59897,1.21
979,-0.60424,1.2278
980,-0.60019,1.2181
981,-0.59978,1.2043
982,-0.6014,1.2148
983,-0.60019,1.2043
984,-0.60019,1.2059
985,-0.59655,1.2262
986,-0.59533,1.2148
987,-0.59533,1.2148
988,-0.59695,1.2294
989,-0.59533,1.2164
990,-0.5945199999999999,1.2084
991,-0.5945199999999999,1.2051
992,-0.59614,1.2205
993,-0.5925,1.2245
994,-0.58602,1.214
995,-0.5908800000000001,1.2278
996,-0.59209,1.2294
997,-0.59128,1.2213
998,-0.5904699999999999,1.2197
999,-0.58521,1.2108
